year;age;sex;population
1980;72;1;21099
1980;72;2;29815
1980;73;1;19330
1980;73;2;27830
1980;74;1;18176
1980;74;2;26662
1980;75;1;16683
1980;75;2;25668
1980;76;1;15308
1980;76;2;24066
1980;77;1;13913
1980;77;2;22212
1980;78;1;12753
1980;78;2;21331
1980;79;1;11322
1980;79;2;20135
1980;80;1;9525
1980;80;2;18000
1980;81;1;8612
1980;81;2;16216
1980;82;1;6936
1980;82;2;14291
1980;83;1;5973
1980;83;2;12326
1980;84;1;5167
1980;84;2;10884
1980;85;1;4128
1980;85;2;8901
1980;86;1;3330
1980;86;2;7651
1980;87;1;2730
1980;87;2;6338
1980;88;1;2165
1980;88;2;4927
1980;89;1;1649
1980;89;2;4016
1980;90;1;1176
1980;90;2;3034
1980;91;1;882
1980;91;2;2242
1980;92;1;668
1980;92;2;1726
1980;93;1;460
1980;93;2;1212
1980;94;1;312
1980;94;2;854
1980;95;1;199
1980;95;2;606
1980;96;1;109
1980;96;2;402
1980;97;1;77
1980;97;2;262
1980;98;1;53
1980;98;2;166
1980;99;1;68
1980;99;2;204
1980;100;1;0
1980;100;2;0
1980;101;1;0
1980;101;2;0
1980;102;1;0
1980;102;2;0
1980;103;1;0
1980;103;2;0
1980;104;1;0
1980;104;2;0
1980;105;1;0
1980;105;2;0
